Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
main_body,1.1976E-18,2.9807E-18,-0.024667,0,0,0,0.27159,0.00047029,8.691E-20,9.2467E-22,0.00030006,2.8702E-20,0.00076993,0,0,0,0,0,0,package://spider/meshes/main_body.STL,0.5898,0.59177,0.59294,1,0,0,0,0,0,0,package://spider/meshes/main_body.STL,,body-1;body-2;horn-5;horn-3;horn-2;horn-6;horn-4;horn-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1_coxa,-0.01487,-0.0067728,-0.019757,0,0,0,0.14547,4.1777E-05,-5.3557E-07,5.3584E-07,2.672E-05,-4.9151E-13,2.672E-05,0,0,0,0,0,0,package://spider/meshes/L1_coxa.STL,0.279216,0.281961,0.293333,1,0,0,0,0,0,0,package://spider/meshes/L1_coxa.STL,,left_leg-3/servo-1;left_leg-3/coxa-1;left_leg-3/coxa-2;left_leg-3/servo-2,L1J1,L1A1,L1_joint1,revolute,-0.04,0.0750000000000001,-0.002,0,0,-1.08083900054117,main_body,0,0,-1,0,0,0,0,,,,,,,,
L1_femur,0.0020723,-0.0425,-0.0029625,0,0,0,0.018954,1.6508E-05,-4.0626E-21,-7.4283E-23,6.9019E-07,3.5999E-21,1.7168E-05,0,0,0,0,0,0,package://spider/meshes/L1_femur.STL,0.589804,0.592157,0.592941,1,0,0,0,0,0,0,package://spider/meshes/L1_femur.STL,,left_leg-3/horn-2;left_leg-3/femur-1;left_leg-3/horn-1,L1J2,L1A2,L1_joint2,revolute,-0.0297399999999999,0.0226716679866615,-0.0231716679866614,1.5707963267949,1.5707963267949,0,L1_coxa,0,0,1,0,0,0,0,,,,,,,,
L1_tibia,0.0033475,0.0079586,-0.02165,0,0,0,0.083453,1.127E-05,-6.8552E-06,-1.5501E-07,6.3949E-05,-1.3189E-10,6.307E-05,0,0,0,0,0,0,package://spider/meshes/L1_tibia.STL,0.379216,0.381961,0.393333,1,0,0,0,0,0,0,package://spider/meshes/L1_tibia.STL,,left_leg-3/servo-3;left_leg-3/tibia-1,L1J3,L1A3,L1_joint3,revolute,0,-0.085,0,3.14159265358979,0,0,L1_femur,0,0,-1,0,0,0,0,,,,,,,,
L2_coxa,-0.01487,-0.0067728,-0.019757,0,0,0,0.14547,4.1777E-05,-5.3557E-07,5.3584E-07,2.672E-05,1.0353E-20,2.672E-05,0,0,0,0,0,0,package://spider/meshes/L2_coxa.STL,0.279216,0.281961,0.293333,1,0,0,0,0,0,0,package://spider/meshes/L2_coxa.STL,,left_leg-2/servo-1;left_leg-2/coxa-1;left_leg-2/coxa-2;left_leg-2/servo-2,L2J1,L2A1,L2_joint1,revolute,-0.0678388218141501,0,-0.002,0,0,0,main_body,0,0,-1,0,0,0,0,,,,,,,,
L2_femur,0.0020723,-0.0425,-0.0029625,0,0,0,0.018954,1.6508E-05,-2.0583E-21,5.7808E-23,6.9019E-07,-4.072E-24,1.7168E-05,0,0,0,0,0,0,package://spider/meshes/L2_femur.STL,0.589804,0.592157,0.592941,1,0,0,0,0,0,0,package://spider/meshes/L2_femur.STL,,left_leg-2/horn-2;left_leg-2/femur-1;left_leg-2/horn-1,L2J2,L2A2,L2_joint2,revolute,-0.02974,0.0226716679866614,-0.0231716679866613,1.5707963267949,1.5707963267949,0,L2_coxa,0,0,1,0,0,0,0,,,,,,,,
L2_tibia,0.0033475,0.0079586,-0.02165,0,0,0,0.083453,1.127E-05,-6.8552E-06,-1.5501E-07,6.3949E-05,-1.3191E-10,6.307E-05,0,0,0,0,0,0,package://spider/meshes/L2_tibia.STL,0.379216,0.381961,0.393333,1,0,0,0,0,0,0,package://spider/meshes/L2_tibia.STL,,left_leg-2/servo-3;left_leg-2/tibia-1,L2J3,L2A3,L2_joint3,revolute,0,-0.085,0,3.14159265358979,0,0,L2_femur,0,0,-1,0,0,0,0,,,,,,,,
L3_coxa,-0.01487,-0.0067728,-0.019757,0,0,0,0.14547,4.1777E-05,-5.3557E-07,5.3584E-07,2.672E-05,-4.5427E-13,2.672E-05,0,0,0,0,0,0,package://spider/meshes/L3_coxa.STL,0.279216,0.281961,0.293333,1,0,0,0,0,0,0,package://spider/meshes/L3_coxa.STL,,left_leg-4/servo-1;left_leg-4/coxa-1;left_leg-4/coxa-2;left_leg-4/servo-2,L3J1,L3A1,L3_joint1,revolute,-0.04,-0.075,-0.00199999999999999,0,0,1.08083900054117,main_body,0,0,-1,0,0,0,0,,,,,,,,
L3_femur,0.0020723,-0.0425,-0.0029625,0,0,0,0.018954,1.6508E-05,-3.6245E-21,2.7205E-23,6.9019E-07,-3.5999E-21,1.7168E-05,0,0,0,0,0,0,package://spider/meshes/L3_femur.STL,0.589804,0.592157,0.592941,1,0,0,0,0,0,0,package://spider/meshes/L3_femur.STL,,left_leg-4/horn-2;left_leg-4/femur-1;left_leg-4/horn-1,L3J2,L3A2,L3_joint2,revolute,-0.0297400000000001,0.0226716679866626,-0.0231716679866611,1.5707963267949,1.5707963267949,0,L3_coxa,0,0,1,0,0,0,0,,,,,,,,
L3_tibia,0.0033475,0.0079586,-0.02165,0,0,0,0.083453,1.127E-05,-6.8552E-06,-1.5501E-07,6.3949E-05,-1.3193E-10,6.307E-05,0,0,0,0,0,0,package://spider/meshes/L3_tibia.STL,0.379216,0.381961,0.393333,1,0,0,0,0,0,0,package://spider/meshes/L3_tibia.STL,,left_leg-4/servo-3;left_leg-4/tibia-1,L3J3,L3A3,L3_joint3,revolute,0,-0.085,0,3.14159265358979,0,0,L3_femur,0,0,-1,0,0,0,0,,,,,,,,
